Year,Region,Gender.Code,Education,rural_urban_class,source,measure1,measure2,attr,agr_by,overall_value,Ethnicity
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,11771.6671240141,Asian or Pacific Islander
1990,United States,All genders,666,large central metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,11915.4124753979,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,absolute number,overall,nation,1601,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,absolute number,total,nation,1705,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,337.785407631947,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,386.968778246657,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,201.311226401571,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,214.388282957326,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,absolute number,overall,nation,45358.979618032,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,absolute number,total,nation,43714.928720637,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,6497.43410613361,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,7050.94108025528,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,5703.48020938782,Asian or Pacific Islander
1990,United States,All genders,666,large fringe metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,5496.75572317846,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,absolute number,overall,nation,4599,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,absolute number,total,nation,5074,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,576.418310048146,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,644.705782719594,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,579.848651810908,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,639.737347094705,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,absolute number,overall,nation,110390.450396146,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,absolute number,total,nation,114867.987488399,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,11612.8987332086,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,12538.9621763318,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,13918.1895705597,Asian or Pacific Islander
1990,United States,All genders,666,medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,14482.7240011699,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,absolute number,overall,nation,146,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,absolute number,total,nation,147,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,110.307973370048,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,119.629242637701,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,90.3946407122603,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,91.0137820870018,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,absolute number,overall,nation,4005.718479254,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,absolute number,total,nation,3423.54970303,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,2410.41067717426,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,2359.94000251228,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,2480.10604607279,Asian or Pacific Islander
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,2119.66126962988,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,absolute number,overall,nation,6,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,absolute number,total,nation,8,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,3.51433839154993,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,4.72122275967747,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,4.66341781891949,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,6.21789042522598,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,absolute number,overall,nation,174.25955735,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,absolute number,total,nation,197.22947739,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,96.7353005776955,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,114.353338907691,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,135.440854143836,Asian or Pacific Islander
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,153.293909879451,Asian or Pacific Islander
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,absolute number,overall,nation,19583,Asian or Pacific Islander
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,absolute number,total,nation,21222,Asian or Pacific Islander
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,561.615830388532,Asian or Pacific Islander
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,626.993703131512,Asian or Pacific Islander
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,443.267106968549,Asian or Pacific Islander
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,480.366365934053,Asian or Pacific Islander
1990,United States,All genders,666,All,National Vital Statistics System,YLL,absolute number,overall,nation,499067.95569634,Asian or Pacific Islander
